date,000300.SH,399905.SZ,000906.SH,000016.SH
2010/8/16,2922.083,4423.315,3181.259,1971.295
2010/8/17,2942.291,4457.759,3203.991,1979.789
2010/8/18,2937.362,4457.127,3199.92,1974.664
2010/8/19,2955.395,4461.488,3215.203,1994.162
2010/8/20,2898.333,4366.604,3151.467,1967.061
2010/8/23,2896.192,4404.718,3156.979,1962.778
2010/8/24,2911.827,4456.497,3179.324,1960.055
2010/8/25,2843.023,4368.304,3107.44,1914.997
2010/8/26,2850.093,4399.284,3118.977,1914.636
2010/8/27,2858.566,4431.444,3131.863,1917.581
2010/8/30,2915.01,4553.023,3200.157,1942.559
2010/8/31,2903.188,4589.289,3197.548,1923.907
2010/9/1,2884.042,4530.229,3171.005,1917.33
2010/9/2,2921.393,4625.395,3218.986,1935.922
2010/9/3,2920.205,4662.96,3225.149,1929.186
2010/9/6,2975.09,4651.963,3267.081,1975.677
2010/9/7,2983.108,4679.942,3278.811,1973.14
2010/9/8,2980.967,4720.375,3284.753,1956.33
2010/9/9,2926.46,4658.009,3229.227,1918.286
2010/9/10,2932.554,4705.31,3243.074,1915.645
2010/9/13,2962.319,4789.693,3282.928,1922.142
2010/9/14,2965.009,4805.416,3288.063,1925.014
2010/9/15,2913.194,4730.143,3232.251,1893.027
2010/9/16,2857.789,4610.916,3165.234,1858.449
2010/9/17,2861.369,4603.489,3166.697,1857.31
2010/9/20,2849.828,4553.12,3147.898,1860.854
2010/9/21,2857.476,4546.724,3152.818,1864.414
2010/9/27,2905.029,4673.602,3214.994,1881.545
2010/9/28,2880.907,4654.345,3192.004,1863.881
2010/9/29,2874.812,4590.317,3174.981,1868.749
2010/9/30,2935.574,4660.605,3237.02,1913.109
2010/10/8,3044.233,4767.967,3344.488,1990.014
2010/10/11,3132.895,4789.155,3419.584,2066.948
2010/10/12,3172.726,4806.029,3454.715,2091.781
2010/10/13,3217.577,4836.737,3496.505,2125.614
2010/10/14,3224.14,4679.548,3472.018,2160.837
2010/10/15,3327.683,4691.45,3557.329,2254.392
2010/10/18,3306.16,4636.639,3529.689,2241.722
2010/10/19,3375.674,4778.607,3612.317,2278.353
2010/10/20,3396.879,4794.194,3632.279,2285.214
2010/10/21,3374.685,4833.8,3621.965,2245.248
2010/10/22,3378.655,4877.927,3633.499,2231.057
2010/10/25,3481.081,4998.5,3738.484,2294.451
2010/10/26,3466.084,5046.148,3735.47,2272.208
2010/10/27,3403.872,4994.774,3675.84,2225.371
2010/10/28,3397.692,4999.59,3671.794,2224.238
2010/10/29,3379.983,5055.492,3668.157,2189.479
2010/11/1,3472.995,5199.525,3770.029,2238.471
2010/11/2,3463.131,5173.066,3757.11,2231.704
2010/11/3,3420.341,5098.539,3708.682,2226.468
2010/11/4,3480.505,5228.296,3781.492,2254.763
2010/11/5,3520.798,5311.77,3829.598,2279.004
2010/11/8,3548.566,5431.091,3874.405,2289.964
2010/11/9,3523.954,5467.839,3861.568,2257.348
2010/11/10,3499.111,5484.742,3844.803,2226.16
2010/11/11,3509.975,5440.099,3845.11,2252.283
